treatment,treatment_rep,coral_species,tile_rep,tile_ID_no,tile_ID_letter,exposure,coral_dead,coral_live,encrusting_brown_algae,filamentous_algae,turf_algae,CCA,worm,detritus,bare_tile
anigrofuscus,1,goniastrea,1,13,b,0,0,0,0,8,2,16,0,16,58
anigrofuscus,1,kenti,1,1,m,0,0,4,0,18,0,8,0,8,62
anigrofuscus,1,kenti,2,1,c,0,0,2,0,30,6,14,0,4,44
anigrofuscus,1,kenti,3,4,e,0,0,6,0,16,10,8,0,8,52
anigrofuscus,1,millepora,1,45,k,0,0,0,0,12,28,4,0,18,38
anigrofuscus,1,millepora,2,19,b,0,0,0,0,6,2,22,0,12,58
anigrofuscus,1,millepora,3,43,p,0,0,0,0,10,20,2,0,8,60
anigrofuscus,1,millepora,4,36,a,0,2,0,0,10,20,18,0,16,34
anigrofuscus,2,goniastrea,1,14,d,0,0,0,0,20,0,4,0,2,74
anigrofuscus,2,kenti,1,1,o,0,0,0,0,40,0,26,0,2,32
anigrofuscus,2,kenti,2,4,d,0,0,2,0,14,0,8,0,4,72
anigrofuscus,2,kenti,3,4,i,0,0,0,0,20,0,14,0,20,46
anigrofuscus,2,millepora,1,26,k,0,0,0,0,18,10,6,2,18,46
anigrofuscus,2,millepora,2,19,n,0,2,0,0,26,20,16,0,22,14
anigrofuscus,2,millepora,3,19,f,0,0,2,0,30,10,10,0,4,44
anigrofuscus,2,millepora,4,17,f,0,0,2,0,40,10,16,0,6,26
anigrofuscus,3,goniastrea,1,3,f,0,0,0,0,18,38,0,0,18,26
anigrofuscus,3,kenti,1,9,o,0,0,0,0,24,0,18,0,0,58
anigrofuscus,3,kenti,2,1,h,0,0,0,0,32,14,4,0,12,38
anigrofuscus,3,kenti,3,33,f,0,0,0,0,34,4,12,0,0,50
anigrofuscus,3,millepora,1,19,c,0,0,8,0,32,2,12,0,4,42
anigrofuscus,3,millepora,2,45,m,0,0,0,0,10,56,6,0,6,22
anigrofuscus,3,millepora,3,36,m,0,0,6,0,24,8,14,0,10,38
anigrofuscus,3,millepora,4,43,k,0,0,0,0,42,10,6,0,2,40
anigrofuscus,4,goniastrea,1,3,b,0,0,0,0,32,20,0,0,10,38
anigrofuscus,4,kenti,1,1,d,0,0,0,0,28,0,10,0,0,62
anigrofuscus,4,kenti,2,4,k,0,0,0,0,22,0,6,0,2,70
anigrofuscus,4,kenti,3,4,j,0,2,0,0,24,0,2,0,10,62
anigrofuscus,4,millepora,1,18,p,0,0,0,0,76,0,2,0,0,22
anigrofuscus,4,millepora,2,48,b,0,0,0,0,76,16,0,0,0,8
anigrofuscus,4,millepora,3,43,n,0,0,0,0,18,12,4,0,34,32
anigrofuscus,4,millepora,4,19,p,0,0,4,0,44,0,10,0,6,36
cbinotatus,1,goniastrea,1,6,g,0,0,0,0,42,0,6,0,0,52
cbinotatus,1,kenti,1,9,f,0,0,0,0,62,6,0,0,2,30
cbinotatus,1,kenti,2,9,h,0,0,0,0,28,46,0,0,6,20
cbinotatus,1,kenti,3,31,b,0,0,0,0,10,0,8,0,0,82
cbinotatus,1,millepora,1,45,f,0,0,0,0,46,8,4,0,4,38
cbinotatus,1,millepora,2,26,p,0,0,0,0,30,2,8,0,0,60
cbinotatus,1,millepora,3,19,f,0,0,2,0,52,2,18,0,0,26
cbinotatus,1,millepora,4,19,a,0,2,0,0,8,0,12,0,0,78
cbinotatus,2,goniastrea,1,5,l,0,0,0,6,6,0,22,0,0,66
cbinotatus,2,kenti,1,33,h,0,0,0,0,22,0,8,0,8,62
cbinotatus,2,kenti,2,9,j,0,0,0,0,14,0,4,0,26,56
cbinotatus,2,kenti,3,31,p,0,0,0,0,8,0,8,0,24,60
cbinotatus,2,millepora,1,19,o,0,2,0,0,48,0,14,0,6,30
cbinotatus,2,millepora,2,24,j,0,0,4,0,4,0,4,0,28,60
cbinotatus,2,millepora,3,48,f,0,0,0,0,30,0,14,0,0,56
cbinotatus,2,millepora,4,45,l,0,0,6,0,40,0,4,0,4,46
cbinotatus,3,goniastrea,1,6,h,0,0,0,0,30,0,6,0,0,64
cbinotatus,3,kenti,1,33,c,0,0,0,0,26,0,8,0,8,58
cbinotatus,3,kenti,2,9,i,0,0,0,0,4,0,8,0,2,86
cbinotatus,3,kenti,3,31,k,0,0,2,0,28,0,20,0,0,50
cbinotatus,3,millepora,1,36,e,0,0,4,0,34,0,14,0,2,46
cbinotatus,3,millepora,2,43,g,0,0,0,0,40,0,18,0,4,38
cbinotatus,3,millepora,3,26,f,0,0,0,0,24,0,10,0,0,66
cbinotatus,3,millepora,4,43,a,0,0,4,0,46,0,26,0,2,22
cbinotatus,4,goniastrea,1,6,c,0,0,0,0,10,0,10,0,0,80
cbinotatus,4,kenti,1,33,c,0,0,0,0,26,2,18,0,10,44
cbinotatus,4,kenti,2,4,g,0,0,0,0,28,0,16,0,4,52
cbinotatus,4,kenti,3,4,m,0,0,2,0,46,0,10,0,2,40
cbinotatus,4,millepora,1,43,l,0,0,2,0,12,14,2,0,14,56
cbinotatus,4,millepora,2,19,c,0,0,6,0,66,0,2,0,0,26
cbinotatus,4,millepora,3,36,i,0,0,4,0,32,0,22,0,2,40
cbinotatus,4,millepora,4,26,d,0,0,2,0,50,0,14,0,2,32
manual,1,goniastrea,1,14,h,0,0,0,0,32,0,2,0,2,64
manual,1,kenti,1,9,n,0,0,2,0,30,0,4,0,2,62
manual,1,kenti,2,4,b,0,0,2,0,10,0,10,0,0,78
manual,1,kenti,3,4,o,0,0,0,0,6,0,8,0,4,82
manual,1,millepora,1,26,c,0,0,0,0,10,0,8,0,2,80
manual,1,millepora,2,36,c,0,0,0,0,16,4,18,0,2,60
manual,1,millepora,3,48,a,0,0,0,0,20,0,14,0,0,66
manual,1,millepora,4,43,h,0,0,6,0,6,4,2,0,20,62
manual,2,goniastrea,1,3,e,0,0,0,2,8,0,6,0,0,84
manual,2,kenti,1,9,l,0,0,0,0,22,0,4,0,4,70
manual,2,kenti,2,16,f,0,2,0,0,10,0,16,2,2,68
manual,2,kenti,3,16,i,0,0,2,0,8,0,6,0,2,82
manual,2,millepora,1,26,p,0,2,10,0,20,0,18,0,2,48
manual,2,millepora,2,36,p,0,0,4,0,18,2,26,0,2,48
manual,2,millepora,3,50,d,0,0,0,0,46,0,2,0,0,52
manual,2,millepora,4,43,e,0,0,0,0,4,6,2,0,32,56
manual,3,goniastrea,1,6,e,0,0,0,0,0,0,6,0,0,94
manual,3,kenti,1,9,g,0,0,0,0,14,0,2,0,2,82
manual,3,kenti,2,4,h,0,0,0,0,44,0,2,0,0,54
manual,3,kenti,3,9,p,0,2,0,4,26,0,8,0,0,60
manual,3,millepora,1,48,d,0,2,0,0,34,0,8,0,0,56
manual,3,millepora,2,17,a,0,0,2,0,10,0,12,0,2,74
manual,3,millepora,3,43,c,0,2,0,0,18,8,4,2,22,44
manual,3,millepora,4,36,n,0,0,0,0,24,2,18,0,12,44
manual,4,goniastrea,1,6,a,0,0,0,0,32,0,8,0,2,58
manual,4,kenti,1,16,p,0,0,0,0,28,0,16,0,0,56
manual,4,kenti,2,9,m,0,0,0,0,4,0,6,0,14,76
manual,4,kenti,3,9,k,0,0,0,0,44,0,2,0,8,46
manual,4,millepora,1,45,j,0,0,0,0,42,0,0,2,8,48
manual,4,millepora,2,36,k,0,2,8,0,20,0,12,0,8,50
manual,4,millepora,3,45,p,0,0,2,0,24,0,6,0,36,32
manual,4,millepora,4,50,c,0,0,0,0,30,6,2,0,24,38
sfasciatus,1,goniastrea,1,6,o,0,0,0,0,4,0,8,0,14,74
sfasciatus,1,kenti,1,4,l,0,0,2,0,10,0,4,0,0,84
sfasciatus,1,kenti,2,16,l,0,0,0,0,16,0,12,0,4,68
sfasciatus,1,kenti,3,1,e,0,0,0,0,52,0,6,0,4,38
sfasciatus,1,millepora,1,50,b,0,4,2,0,12,0,6,0,2,74
sfasciatus,1,millepora,2,50,m,0,0,0,0,30,2,10,0,22,36
sfasciatus,1,millepora,3,36,h,0,0,2,0,32,0,10,0,12,44
sfasciatus,1,millepora,4,50,j,0,0,0,0,2,0,12,0,24,62
sfasciatus,2,goniastrea,1,6,m,0,0,0,0,8,0,6,0,2,84
sfasciatus,2,kenti,1,9,n,0,0,0,0,14,0,16,0,10,60
sfasciatus,2,kenti,2,31,m,0,0,0,0,26,0,6,0,18,50
sfasciatus,2,kenti,3,1,b,0,0,2,0,16,0,6,0,2,74
sfasciatus,2,millepora,1,36,g,0,0,4,0,12,0,12,0,18,54
sfasciatus,2,millepora,2,26,h,0,0,2,0,24,2,8,0,20,44
sfasciatus,2,millepora,3,24,o,0,0,0,0,20,0,4,0,14,62
sfasciatus,2,millepora,4,43,m,0,0,0,0,20,2,8,0,30,40
sfasciatus,3,goniastrea,1,6,n,0,0,0,0,4,0,16,0,2,78
sfasciatus,3,kenti,1,4,a,0,0,0,0,6,0,10,0,26,58
sfasciatus,3,kenti,2,16,j,0,0,0,0,4,0,20,0,2,74
sfasciatus,3,kenti,3,33,p,0,0,0,0,46,2,0,2,16,34
sfasciatus,3,millepora,1,24,k,0,0,4,0,12,4,10,0,10,60
sfasciatus,3,millepora,2,36,d,0,0,6,0,14,0,16,0,6,58
sfasciatus,3,millepora,3,43,d,0,0,2,0,4,18,4,0,32,40
sfasciatus,3,millepora,4,42,f,0,0,0,0,16,20,0,0,28,36
sfasciatus,4,goniastrea,1,6,l,0,0,0,0,30,0,14,0,18,38
sfasciatus,4,kenti,1,31,l,0,0,2,0,2,10,4,0,14,68
sfasciatus,4,kenti,2,33,o,0,0,0,0,24,4,14,0,10,48
sfasciatus,4,kenti,3,16,d,0,0,4,0,2,0,12,0,8,74
sfasciatus,4,millepora,1,18,h,0,0,0,0,38,6,2,0,24,30
sfasciatus,4,millepora,2,45,o,0,0,0,0,28,6,10,2,16,38
sfasciatus,4,millepora,3,17,m,0,0,0,0,8,4,10,0,22,56
sfasciatus,4,millepora,4,36,d,0,2,4,0,12,0,18,0,6,58
uncleaned,1,goniastrea,1,14,b,0,0,0,0,12,0,12,0,8,68
uncleaned,1,kenti,1,16,n,0,0,0,0,4,0,10,0,0,86
uncleaned,1,kenti,2,16,e,0,0,0,0,10,0,22,0,8,60
uncleaned,1,kenti,3,1,g,0,0,0,0,14,0,10,0,2,74
uncleaned,1,millepora,1,24,a,0,0,2,0,6,0,4,0,4,84
uncleaned,1,millepora,2,43,b,0,0,2,0,12,0,10,0,6,70
uncleaned,1,millepora,3,36,l,0,0,4,0,8,0,16,0,2,70
uncleaned,1,millepora,4,24,g,0,0,2,2,2,0,6,0,4,84
uncleaned,2,goniastrea,1,6,i,0,0,0,0,6,0,4,0,4,86
uncleaned,2,kenti,1,9,e,0,0,2,0,4,0,0,0,0,94
uncleaned,2,kenti,2,4,n,0,2,2,0,4,0,6,0,10,76
uncleaned,2,kenti,3,9,a,0,0,4,0,16,0,8,0,0,72
uncleaned,2,millepora,1,43,j,0,0,4,0,20,0,12,0,0,64
uncleaned,2,millepora,2,36,j,0,0,0,0,18,0,22,0,10,50
uncleaned,2,millepora,3,43,o,0,0,4,0,32,0,2,0,18,44
uncleaned,2,millepora,4,48,h,0,2,2,0,6,0,14,2,14,60
uncleaned,3,goniastrea,1,6,j,0,0,0,0,6,0,12,0,2,80
uncleaned,3,kenti,1,4,c,0,0,0,0,12,0,6,0,24,58
uncleaned,3,kenti,2,1,a,0,0,0,0,52,0,10,2,14,22
uncleaned,3,kenti,3,31,j,0,0,0,0,12,0,10,0,18,60
uncleaned,3,millepora,1,26,n,0,2,0,0,30,0,8,0,14,46
uncleaned,3,millepora,2,36,f,0,8,0,0,28,0,28,0,16,20
uncleaned,3,millepora,3,19,a,0,4,0,0,44,0,8,0,12,32
uncleaned,3,millepora,4,18,f,0,4,0,0,46,0,6,0,14,30
uncleaned,4,goniastrea,1,3,h,0,0,0,0,36,0,2,0,16,46
uncleaned,4,kenti,1,33,e,0,0,0,0,12,0,8,0,16,64
uncleaned,4,kenti,2,1,i,0,0,2,0,6,0,16,0,6,70
uncleaned,4,kenti,3,9,c,0,0,2,2,6,0,14,0,8,68
uncleaned,4,millepora,1,36,b,0,0,0,0,4,0,24,0,16,56
uncleaned,4,millepora,2,19,e,0,0,14,0,12,0,12,0,16,46
uncleaned,4,millepora,3,43,f,0,0,0,0,20,0,8,0,16,56
uncleaned,4,millepora,4,45,n,0,0,4,0,28,0,4,0,18,46
zscopas,1,goniastrea,1,5,m,0,0,0,0,8,0,6,0,12,74
zscopas,1,kenti,1,9,b,0,0,4,0,24,0,6,0,8,58
zscopas,1,kenti,2,16,h,0,0,2,0,14,0,22,0,8,54
zscopas,1,kenti,3,16,l,0,0,2,0,28,0,4,0,8,58
zscopas,1,millepora,1,19,i,0,0,0,0,4,0,20,2,12,62
zscopas,1,millepora,2,48,g,0,0,0,0,18,0,12,0,6,64
zscopas,1,millepora,3,24,p,0,0,2,0,36,2,20,0,10,30
zscopas,1,millepora,4,17,j,0,0,4,0,0,0,4,0,28,64
zscopas,2,goniastrea,1,13,a,0,0,0,0,18,0,6,0,16,60
zscopas,2,kenti,1,31,j,0,0,0,0,4,0,6,0,10,80
zscopas,2,kenti,2,16,e,0,0,4,0,14,0,18,0,8,56
zscopas,2,kenti,3,33,e,0,0,0,0,14,0,20,0,2,64
zscopas,2,millepora,1,50,e,0,0,2,0,8,0,20,0,8,62
zscopas,2,millepora,2,50,f,0,0,0,0,36,0,8,0,18,38
zscopas,2,millepora,3,17,z,0,0,6,0,26,0,12,0,8,48
zscopas,2,millepora,4,48,e,0,0,4,0,8,0,16,0,22,50
zscopas,3,goniastrea,1,6,f,0,0,0,0,0,0,12,0,4,84
zscopas,3,kenti,1,4,d,0,0,0,0,8,0,4,0,10,78
zscopas,3,kenti,2,1,f,0,0,0,0,4,0,30,0,2,64
zscopas,3,kenti,3,4,f,0,0,0,0,2,0,12,2,12,72
zscopas,3,millepora,1,26,g,0,2,4,0,12,0,2,0,38,42
zscopas,3,millepora,2,24,h,0,0,2,0,24,0,4,0,32,38
zscopas,3,millepora,3,48,c,0,0,2,0,2,0,8,2,18,68
zscopas,3,millepora,4,17,h,0,0,0,0,20,0,10,0,14,56
zscopas,4,goniastrea,1,6,b,0,0,0,0,4,0,14,0,6,76
zscopas,4,kenti,1,33,d,0,0,4,0,16,0,0,0,24,56
zscopas,4,kenti,2,16,a,0,0,0,0,14,0,16,0,6,64
zscopas,4,kenti,3,16,q,0,0,0,0,16,0,16,0,12,56
zscopas,4,millepora,1,50,a,0,0,4,0,22,0,20,0,12,42
