treatment,treatment_rep,coral_species,tile_rep,tile_ID_no,tile_ID_letter,exposure,coral_dead,coral_live,encrusting_brown_algae,filamentous_algae,turf_algae,CCA,worm,detritus,bare_tile
zscopas,4,millepora,2,18,l,0,0,4,0,24,0,12,0,26,34
zscopas,4,millepora,3,19,d,0,0,2,0,20,0,12,0,22,44
zscopas,4,millepora,4,19,j,0,0,0,0,18,0,14,0,32,36
anigrofuscus,1,goniastrea,1,13,b,1,0,0,0,12,0,8,0,4,76
anigrofuscus,1,kenti,1,1,m,1,0,2,0,6,0,6,0,6,80
anigrofuscus,1,kenti,2,1,c,1,0,0,0,14,0,18,0,0,68
anigrofuscus,1,kenti,3,4,e,1,0,2,0,20,0,10,0,2,66
anigrofuscus,1,millepora,1,45,k,1,0,0,0,26,16,2,0,10,46
anigrofuscus,1,millepora,2,19,b,1,0,6,0,20,0,8,4,0,62
anigrofuscus,1,millepora,3,43,p,1,0,2,2,18,0,0,0,0,78
anigrofuscus,1,millepora,4,36,a,1,0,0,0,12,0,22,0,2,64
anigrofuscus,2,goniastrea,1,14,d,1,0,0,0,28,2,8,0,0,62
anigrofuscus,2,kenti,1,1,o,1,0,0,0,46,0,12,0,0,42
anigrofuscus,2,kenti,2,4,d,1,0,4,0,14,0,6,0,0,76
anigrofuscus,2,kenti,3,4,i,1,2,2,0,14,2,4,0,20,56
anigrofuscus,2,millepora,1,26,k,1,0,6,0,52,2,4,0,2,34
anigrofuscus,2,millepora,2,19,n,1,0,0,0,26,4,8,0,6,56
anigrofuscus,2,millepora,3,19,f,1,0,4,0,20,0,12,2,10,52
anigrofuscus,2,millepora,4,17,f,1,2,4,0,26,4,6,0,12,46
anigrofuscus,3,goniastrea,1,3,f,1,0,2,0,42,20,0,0,6,30
anigrofuscus,3,kenti,1,9,o,1,0,0,4,36,2,6,0,0,52
anigrofuscus,3,kenti,2,1,h,1,0,2,0,22,0,12,0,6,58
anigrofuscus,3,kenti,3,33,f,1,0,0,0,32,0,4,0,0,64
anigrofuscus,3,millepora,1,19,c,1,0,0,0,42,0,26,0,0,32
anigrofuscus,3,millepora,2,45,m,1,0,2,0,58,2,12,0,0,26
anigrofuscus,3,millepora,3,36,m,1,0,8,0,28,2,10,0,4,48
anigrofuscus,3,millepora,4,43,k,1,2,2,0,46,0,0,0,2,48
anigrofuscus,4,goniastrea,1,3,b,1,0,0,0,10,0,2,0,18,70
anigrofuscus,4,kenti,1,1,d,1,0,0,0,6,0,8,0,0,86
anigrofuscus,4,kenti,2,4,k,1,0,2,0,12,0,2,0,0,84
anigrofuscus,4,kenti,3,4,j,1,2,0,0,12,0,4,0,2,80
anigrofuscus,4,millepora,1,18,p,1,0,0,0,12,0,4,0,4,80
anigrofuscus,4,millepora,2,48,b,1,0,2,0,40,2,4,0,0,52
anigrofuscus,4,millepora,3,43,n,1,0,4,0,14,4,4,0,16,58
anigrofuscus,4,millepora,4,19,p,1,0,0,0,28,0,6,2,0,64
cbinotatus,1,goniastrea,1,6,g,1,0,0,0,8,0,8,0,0,84
cbinotatus,1,kenti,1,9,f,1,0,0,0,0,0,0,0,0,100
cbinotatus,1,kenti,2,9,h,1,0,0,0,10,0,4,0,0,86
cbinotatus,1,kenti,3,31,b,1,0,0,0,8,0,14,0,0,78
cbinotatus,1,millepora,1,45,f,1,0,0,0,14,0,10,0,0,76
cbinotatus,1,millepora,2,26,p,1,0,0,0,2,0,12,0,0,86
cbinotatus,1,millepora,3,19,f,1,0,0,0,20,0,18,0,0,62
cbinotatus,1,millepora,4,19,a,1,4,0,2,6,0,14,0,0,74
cbinotatus,2,goniastrea,1,5,l,1,0,0,0,0,0,28,0,0,72
cbinotatus,2,kenti,1,33,h,1,0,0,0,2,0,22,0,0,76
cbinotatus,2,kenti,2,9,j,1,0,2,0,2,0,8,0,0,88
cbinotatus,2,kenti,3,31,p,1,0,2,0,2,0,12,0,0,84
cbinotatus,2,millepora,1,19,o,1,0,0,0,6,0,16,0,0,78
cbinotatus,2,millepora,2,24,j,1,0,0,2,2,0,4,0,0,92
cbinotatus,2,millepora,3,48,f,1,2,0,0,0,0,18,0,0,80
cbinotatus,2,millepora,4,45,l,1,0,2,0,0,0,16,0,0,82
cbinotatus,3,goniastrea,1,6,h,1,0,0,0,2,0,12,0,0,86
cbinotatus,3,kenti,1,33,c,1,0,0,0,16,0,10,0,4,70
cbinotatus,3,kenti,2,9,i,1,0,0,2,0,0,4,0,0,94
cbinotatus,3,kenti,3,31,k,1,0,0,0,6,0,8,0,0,86
cbinotatus,3,millepora,1,36,e,1,0,0,0,4,0,24,0,0,72
cbinotatus,3,millepora,2,43,g,1,0,6,0,8,0,16,0,2,68
cbinotatus,3,millepora,3,26,f,1,0,0,0,8,0,10,0,0,82
cbinotatus,3,millepora,4,43,a,1,0,2,6,4,0,18,0,0,70
cbinotatus,4,goniastrea,1,6,c,1,0,0,0,0,0,14,0,0,86
cbinotatus,4,kenti,1,33,c,1,0,0,0,2,0,18,2,0,78
cbinotatus,4,kenti,2,4,g,1,2,0,0,6,0,8,0,0,84
cbinotatus,4,kenti,3,4,m,1,0,0,0,2,0,4,0,0,94
cbinotatus,4,millepora,1,43,l,1,2,0,0,2,0,10,0,0,86
cbinotatus,4,millepora,2,19,c,1,0,4,0,2,0,24,0,2,68
cbinotatus,4,millepora,3,36,i,1,6,2,0,2,0,20,0,2,68
cbinotatus,4,millepora,4,26,d,1,0,0,0,8,0,14,0,2,76
manual,1,goniastrea,1,14,h,1,0,0,0,32,0,6,0,0,62
manual,1,kenti,1,9,n,1,0,0,0,46,0,2,0,0,52
manual,1,kenti,2,4,b,1,0,2,0,20,0,8,0,2,68
manual,1,kenti,3,4,o,1,0,0,0,6,0,10,0,0,84
manual,1,millepora,1,26,c,1,0,0,0,14,0,18,0,0,68
manual,1,millepora,2,36,c,1,0,4,0,44,2,6,0,0,44
manual,1,millepora,3,48,a,1,0,0,0,34,0,8,0,2,56
manual,1,millepora,4,43,h,1,0,0,0,34,4,4,0,8,50
manual,2,goniastrea,1,3,e,1,0,0,4,16,0,4,0,0,76
manual,2,kenti,1,9,l,1,0,0,0,22,0,0,2,2,74
manual,2,kenti,2,16,f,1,0,2,0,6,0,12,0,0,80
manual,2,kenti,3,16,i,1,0,4,0,0,0,14,0,2,80
manual,2,millepora,1,26,p,1,0,2,0,68,0,6,0,0,24
manual,2,millepora,2,36,p,1,0,4,0,30,2,16,0,2,46
manual,2,millepora,3,50,d,1,2,0,0,78,0,0,0,0,20
manual,2,millepora,4,43,e,1,0,0,0,10,0,0,0,6,84
manual,3,goniastrea,1,6,e,1,0,0,0,4,0,8,0,0,88
manual,3,kenti,1,9,g,1,0,0,0,32,0,2,0,0,66
manual,3,kenti,2,4,h,1,2,0,0,34,0,4,0,2,58
manual,3,kenti,3,9,p,1,0,0,2,30,0,8,0,2,58
manual,3,millepora,1,48,d,1,2,0,0,28,0,16,2,0,52
manual,3,millepora,2,17,a,1,2,0,2,14,0,12,0,2,68
manual,3,millepora,3,43,c,1,0,2,0,40,0,0,0,8,50
manual,3,millepora,4,36,n,1,0,0,0,36,0,18,0,0,46
manual,4,goniastrea,1,6,a,1,0,0,0,40,0,12,0,0,48
manual,4,kenti,1,16,p,1,0,0,0,20,0,8,0,4,68
manual,4,kenti,2,9,m,1,0,0,0,8,0,6,0,0,86
manual,4,kenti,3,9,k,1,0,2,0,40,0,0,2,4,52
manual,4,millepora,1,45,j,1,0,0,0,46,0,12,0,6,36
manual,4,millepora,2,36,k,1,0,2,0,16,0,16,0,4,62
manual,4,millepora,3,45,p,1,0,0,0,28,0,6,0,10,56
manual,4,millepora,4,50,c,1,0,0,0,32,0,4,0,6,58
sfasciatus,1,goniastrea,1,6,o,1,0,0,0,22,0,12,0,2,64
sfasciatus,1,kenti,1,4,l,1,0,0,0,28,0,2,2,2,66
sfasciatus,1,kenti,2,16,l,1,0,4,0,14,0,8,2,2,70
sfasciatus,1,kenti,3,1,e,1,0,0,0,50,10,6,0,4,30
sfasciatus,1,millepora,1,50,b,1,0,0,0,42,0,8,0,0,50
sfasciatus,1,millepora,2,50,m,1,0,0,0,4,0,10,0,16,70
sfasciatus,1,millepora,3,36,h,1,0,6,0,60,0,4,0,4,26
sfasciatus,1,millepora,4,50,j,1,0,2,0,6,0,8,0,20,64
sfasciatus,2,goniastrea,1,6,m,1,0,0,0,0,0,4,0,0,96
sfasciatus,2,kenti,1,9,n,1,0,0,2,22,0,2,0,0,74
sfasciatus,2,kenti,2,31,m,1,0,0,0,8,0,2,0,0,90
sfasciatus,2,kenti,3,1,b,1,0,2,0,4,0,14,0,0,80
sfasciatus,2,millepora,1,36,g,1,0,4,0,16,0,10,0,0,70
sfasciatus,2,millepora,2,26,h,1,0,0,0,28,0,4,0,4,64
sfasciatus,2,millepora,3,24,o,1,0,0,0,30,0,8,0,8,54
sfasciatus,2,millepora,4,43,m,1,0,0,0,22,0,20,0,6,52
sfasciatus,3,goniastrea,1,6,n,1,0,0,0,12,0,8,0,2,78
sfasciatus,3,kenti,1,4,a,1,0,2,0,6,0,6,0,22,64
sfasciatus,3,kenti,2,16,j,1,0,2,0,24,0,18,0,0,56
sfasciatus,3,kenti,3,33,p,1,0,6,0,44,2,0,0,4,44
sfasciatus,3,millepora,1,24,k,1,0,4,0,34,0,8,0,6,48
sfasciatus,3,millepora,2,36,d,1,0,4,0,18,6,10,0,8,54
sfasciatus,3,millepora,3,43,d,1,0,4,0,10,24,0,2,18,42
sfasciatus,3,millepora,4,42,f,1,0,0,0,26,36,0,0,28,10
sfasciatus,4,goniastrea,1,6,l,1,0,0,0,16,2,10,0,0,72
sfasciatus,4,kenti,1,31,l,1,0,0,0,14,0,6,0,2,78
sfasciatus,4,kenti,2,33,o,1,2,0,0,40,2,6,0,4,46
sfasciatus,4,kenti,3,16,d,1,2,4,0,10,0,18,0,2,64
sfasciatus,4,millepora,1,18,h,1,0,0,0,68,10,2,0,12,8
sfasciatus,4,millepora,2,45,o,1,2,0,0,42,0,8,0,2,46
sfasciatus,4,millepora,3,17,m,1,2,0,0,8,0,6,0,4,80
sfasciatus,4,millepora,4,36,d,1,0,2,0,14,0,12,0,0,72
uncleaned,1,goniastrea,1,14,b,1,0,0,0,28,0,4,0,4,64
uncleaned,1,kenti,1,16,n,1,0,0,0,12,0,14,0,2,72
uncleaned,1,kenti,2,16,e,1,0,0,0,20,0,12,0,0,68
uncleaned,1,kenti,3,1,g,1,0,2,0,16,0,16,0,10,56
uncleaned,1,millepora,1,24,a,1,0,0,0,40,0,12,0,2,46
uncleaned,1,millepora,2,43,b,1,0,0,0,20,0,2,0,2,76
uncleaned,1,millepora,3,36,l,1,0,4,0,28,0,20,0,8,40
uncleaned,1,millepora,4,24,g,1,0,0,0,24,0,14,2,0,60
uncleaned,2,goniastrea,1,6,i,1,0,0,0,10,0,8,0,0,82
uncleaned,2,kenti,1,9,e,1,0,0,0,12,0,6,0,0,82
uncleaned,2,kenti,2,4,n,1,0,0,0,6,0,4,0,8,82
uncleaned,2,kenti,3,9,a,1,0,2,0,16,0,10,0,2,70
uncleaned,2,millepora,1,43,j,1,2,2,0,16,0,10,0,12,58
uncleaned,2,millepora,2,36,j,1,0,4,0,26,0,16,0,8,46
uncleaned,2,millepora,3,43,o,1,0,2,0,36,0,2,0,12,48
uncleaned,2,millepora,4,48,h,1,0,0,0,6,0,26,2,4,62
uncleaned,3,goniastrea,1,6,j,1,0,0,0,10,0,8,0,0,82
uncleaned,3,kenti,1,4,c,1,0,0,0,32,0,8,0,0,60
uncleaned,3,kenti,2,1,a,1,0,0,0,60,0,0,0,12,28
uncleaned,3,kenti,3,31,j,1,2,0,0,40,0,4,0,4,50
uncleaned,3,millepora,1,26,n,1,0,0,0,64,0,2,0,6,28
uncleaned,3,millepora,2,36,f,1,0,0,0,72,0,10,0,6,12
uncleaned,3,millepora,3,19,a,1,2,0,0,56,0,10,0,4,28
uncleaned,3,millepora,4,18,f,1,2,0,2,64,0,0,0,4,28
uncleaned,4,goniastrea,1,3,h,1,0,0,0,56,0,0,0,8,36
uncleaned,4,kenti,1,33,e,1,0,0,0,24,0,14,0,4,58
uncleaned,4,kenti,2,1,i,1,0,0,0,40,0,10,2,0,48
uncleaned,4,kenti,3,9,c,1,0,2,0,22,0,14,2,12,48
uncleaned,4,millepora,1,36,b,1,0,2,0,60,0,8,0,4,26
uncleaned,4,millepora,2,19,e,1,0,2,0,36,0,14,2,8,38
uncleaned,4,millepora,3,43,f,1,0,2,0,32,0,12,0,10,44
uncleaned,4,millepora,4,45,n,1,0,4,0,32,0,8,0,6,50
zscopas,1,goniastrea,1,5,m,1,0,0,0,14,0,0,0,20,66
zscopas,1,kenti,1,9,b,1,0,0,0,40,0,4,0,20,36
zscopas,1,kenti,2,16,h,1,0,2,0,14,0,12,0,12,60
zscopas,1,kenti,3,16,l,1,0,2,0,22,0,18,0,12,46
zscopas,1,millepora,1,19,i,1,0,4,0,24,0,10,0,4,58
zscopas,1,millepora,2,48,g,1,0,0,0,20,0,12,0,26,42
zscopas,1,millepora,3,24,p,1,0,0,2,40,34,4,2,8,10
zscopas,1,millepora,4,17,j,1,0,0,0,14,8,2,2,30,44
zscopas,2,goniastrea,1,13,a,1,0,0,0,24,0,12,0,6,58
zscopas,2,kenti,1,31,j,1,0,0,0,8,0,18,0,6,68
zscopas,2,kenti,2,16,e,1,0,0,0,28,0,8,2,12,50
zscopas,2,kenti,3,33,e,1,0,0,0,44,2,18,0,2,34
zscopas,2,millepora,1,50,e,1,0,2,0,32,0,16,0,8,42
zscopas,2,millepora,2,50,f,1,0,0,0,56,0,8,0,10,26
zscopas,2,millepora,3,17,z,1,0,6,0,12,0,8,0,16,58
zscopas,2,millepora,4,48,e,1,0,0,0,66,2,2,0,10,20
zscopas,3,goniastrea,1,6,f,1,0,0,0,0,0,12,0,4,84
zscopas,3,kenti,1,4,d,1,2,0,0,8,0,8,0,16,66
zscopas,3,kenti,2,1,f,1,0,0,0,12,0,14,0,2,72
zscopas,3,kenti,3,4,f,1,0,2,2,8,0,12,0,6,70
zscopas,3,millepora,1,26,g,1,0,0,0,28,0,8,0,18,46
zscopas,3,millepora,2,24,h,1,0,2,0,24,0,10,2,16,46
zscopas,3,millepora,3,48,c,1,6,0,0,12,0,8,0,20,54
zscopas,3,millepora,4,17,h,1,0,0,0,16,0,12,2,28,42
zscopas,4,goniastrea,1,6,b,1,0,0,0,12,0,12,0,2,74
zscopas,4,kenti,1,33,d,1,2,2,0,0,0,0,0,6,90
zscopas,4,kenti,2,16,a,1,0,2,0,22,0,14,0,6,56
zscopas,4,kenti,3,16,q,1,0,2,0,6,0,20,2,2,68
zscopas,4,millepora,1,50,a,1,0,2,0,20,0,22,0,0,56
zscopas,4,millepora,2,18,l,1,0,0,0,42,0,4,0,2,52
zscopas,4,millepora,3,19,d,1,0,2,0,22,0,10,0,6,60
zscopas,4,millepora,4,19,j,1,0,0,0,8,0,8,0,10,74