treatment,treatment_rep,coral_species,tile_rep,tile_ID_no,tile_ID_letter,cleaning_effort,tank_total_time
manual,1,millepora,1,26,c,low,412
manual,1,millepora,2,36,c,high,412
manual,1,millepora,3,48,a,low,412
manual,1,millepora,4,43,h,high,412
manual,1,kenti,1,9,n,low,412
manual,1,kenti,2,4,b,low,412
manual,1,kenti,3,4,o,low,412
manual,1,goniastrea,1,14,h,low,412
manual,2,millepora,1,26,p,high,616
manual,2,millepora,2,36,p,high,616
manual,2,millepora,3,50,d,high,616
manual,2,millepora,4,43,e,low,616
manual,2,kenti,1,9,l,low,616
manual,2,kenti,2,16,f,low,616
manual,2,kenti,3,16,l,low,616
manual,2,goniastrea,1,3,e,low,616
manual,3,millepora,1,48,d,high,575
manual,3,millepora,2,17,a,low,575
manual,3,millepora,3,43,c,high,575
manual,3,millepora,4,36,n,high,575
manual,3,kenti,1,9,g,low,575
manual,3,kenti,2,4,h,low,575
manual,3,kenti,3,9,p,high,575
manual,3,goniastrea,1,6,e,low,575
manual,4,millepora,1,45,j,medium,574
manual,4,millepora,2,36,k,high,574
manual,4,millepora,3,45,p,high,574
manual,4,millepora,4,50,c,high,574
manual,4,kenti,1,16,p,medium,574
manual,4,kenti,2,9,m,medium,574
manual,4,kenti,3,9,k,high,574
manual,4,goniastrea,1,6,a,low,574